file,experiment,model,surface,date,status
2026-06-09_deepseek_deepseek-v4-flash_A-mbti-blind.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-09,FAIL:no-header
2026-06-16_07cond-DELIBERATE_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-GUT_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-covered-only_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-highstakes_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-peer-JUDGE_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-peer-TEAMMATE_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-perceivedpeer_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-permission-only_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,,2026-06-16,FAIL:no-response-section
2026-06-16_07cond-supported_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-16,FAIL:no-response-section
2026-06-16_mbti_01_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-16,FAIL:no-response-section
2026-06-16_mbti_01_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_02a_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_02b_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_02b_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_03_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_03_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_04_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-16,FAIL:no-response-section
2026-06-16_mbti_04_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_04_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_05a_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_05a_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_05b_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_05b_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_06_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_06_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_07_deepseek_deepseek-v4-flash.md,mbti,deepseek/deepseek-v4-flash,api,2026-06-16,FAIL:no-response-section
2026-06-16_mbti_07_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
2026-06-16_mbti_07_qwen_qwen3-next-80b-a3b-instruct_free.md,mbti,qwen/qwen3-next-80b-a3b-instruct:free,api,2026-06-16,FAIL:api-error
2026-06-16_mbti_08_deepseek_deepseek-v4-pro.md,mbti,deepseek/deepseek-v4-pro,api,2026-06-16,ok
